"","ano","regiao","estado","estacao","qtd","variavel","min","max","zerados"
"88","2018","CO","GO","GOIANIA","8760","PRESSAO.ATMOSFERICA.MAX.NA.HORA.ANT...AUT...mB.","923.7","940.9","653"
"89","2018","CO","GO","GOIANIA","8760","PRESSAO.ATMOSFERICA.MIN..NA.HORA.ANT...AUT...mB.","923.1","940.7","700"
"90","2018","CO","GO","GOIANIA","8760","RADIACAO.GLOBAL..KJ.m..","0","3966","3740"
"91","2018","CO","GO","GOIANIA","8760","TEMPERATURA.DO.AR...BULBO.SECO..HORARIA...C.","7.2","36.7","369"
"92","2018","CO","GO","GOIANIA","8760","TEMPERATURA.DO.PONTO.DE.ORVALHO...C.","-6.4","23.6","696"
"93","2018","CO","GO","GOIANIA","8760","TEMPERATURA.MAXIMA.NA.HORA.ANT...AUT....C.","7.4","37.4","431"
"94","2018","CO","GO","GOIANIA","8760","TEMPERATURA.MINIMA.NA.HORA.ANT...AUT....C.","7","36.2","542"
"95","2018","CO","GO","GOIANIA","8760","TEMPERATURA.ORVALHO.MAX..NA.HORA.ANT...AUT....C.","-4.7","24.7","900"
"96","2018","CO","GO","GOIANIA","8760","TEMPERATURA.ORVALHO.MIN..NA.HORA.ANT...AUT....C.","-8.1","21.8","914"
"97","2018","CO","GO","GOIANIA","8760","UMIDADE.REL..MAX..NA.HORA.ANT...AUT.....","9","94","1413"
"98","2018","CO","GO","GOIANIA","8760","UMIDADE.REL..MIN..NA.HORA.ANT...AUT.....","7","94","1156"
"99","2018","CO","GO","GOIANIA","8760","UMIDADE.RELATIVA.DO.AR..HORARIA....","10","94","1061"
"100","2018","CO","GO","GOIANIA","8760","VENTO..DIRECAO.HORARIA..gr......gr..","1","360","90"
"101","2018","CO","GO","GOIANIA","8760","VENTO..RAJADA.MAXIMA..m.s.","0","19.5","943"
"102","2018","CO","GO","GOIANIA","8760","VENTO..VELOCIDADE.HORARIA..m.s.","0","7.4","1312"
"103","2018","CO","GO","MORRINHOS","8760","PRECIPITACAO.TOTAL..HORARIO..mm.","0","22.6","8202"
"104","2018","CO","GO","MORRINHOS","8760","PRESSAO.ATMOSFERICA.AO.NIVEL.DA.ESTACAO..HORARIA..mB.","921.2","938.9","458"
"105","2018","CO","GO","MORRINHOS","8760","PRESSAO.ATMOSFERICA.MAX.NA.HORA.ANT...AUT...mB.","921.7","939","672"
"106","2018","CO","GO","MORRINHOS","8760","PRESSAO.ATMOSFERICA.MIN..NA.HORA.ANT...AUT...mB.","920.9","938.8","673"
"107","2018","CO","GO","MORRINHOS","8760","RADIACAO.GLOBAL..KJ.m..","0","4030.4","3739"
"108","2018","CO","GO","MORRINHOS","8760","TEMPERATURA.DO.AR...BULBO.SECO..HORARIA...C.","4.8","35.8","391"
"109","2018","CO","GO","MORRINHOS","8760","TEMPERATURA.DO.PONTO.DE.ORVALHO...C.","-7.8","23.2","1227"
"110","2018","CO","GO","MORRINHOS","8760","TEMPERATURA.MAXIMA.NA.HORA.ANT...AUT....C.","5.4","36.2","497"
"111","2018","CO","GO","MORRINHOS","8760","TEMPERATURA.MINIMA.NA.HORA.ANT...AUT....C.","4.3","34.6","584"
"112","2018","CO","GO","MORRINHOS","8760","TEMPERATURA.ORVALHO.MAX..NA.HORA.ANT...AUT....C.","-4.5","24.4","1424"
"113","2018","CO","GO","MORRINHOS","8760","TEMPERATURA.ORVALHO.MIN..NA.HORA.ANT...AUT....C.","-7.9","23","1407"
"114","2018","CO","GO","MORRINHOS","8760","UMIDADE.REL..MAX..NA.HORA.ANT...AUT.....","12","100","1563"
"115","2018","CO","GO","MORRINHOS","8760","UMIDADE.REL..MIN..NA.HORA.ANT...AUT.....","10","100","1487"
"116","2018","CO","GO","MORRINHOS","8760","UMIDADE.RELATIVA.DO.AR..HORARIA....","10","100","1262"
"117","2018","CO","GO","MORRINHOS","8760","VENTO..DIRECAO.HORARIA..gr......gr..","1","360","86"
"118","2018","CO","GO","MORRINHOS","8760","VENTO..RAJADA.MAXIMA..m.s.","0","19.4","2387"
"119","2018","CO","GO","MORRINHOS","8760","VENTO..VELOCIDADE.HORARIA..m.s.","0","9.4","2980"
"120","2018","CO","GO","PORANGATU","2640","PRECIPITACAO.TOTAL..HORARIO..mm.","0","41.2","2437"
"121","2018","CO","GO","PORANGATU","2640","PRESSAO.ATMOSFERICA.AO.NIVEL.DA.ESTACAO..HORARIA..mB.","963.5","976.7","154"
"122","2018","CO","GO","PORANGATU","2640","PRESSAO.ATMOSFERICA.MAX.NA.HORA.ANT...AUT...mB.","963.6","976.8","179"
"123","2018","CO","GO","PORANGATU","2640","PRESSAO.ATMOSFERICA.MIN..NA.HORA.ANT...AUT...mB.","963.4","976.6","168"
"124","2018","CO","GO","PORANGATU","2640","RADIACAO.GLOBAL..KJ.m..","0","4161.4","1048"
"125","2018","CO","GO","PORANGATU","2640","TEMPERATURA.DO.AR...BULBO.SECO..HORARIA...C.","20.3","38.1","179"
"126","2018","CO","GO","PORANGATU","2640","TEMPERATURA.DO.PONTO.DE.ORVALHO...C.","10.6","24.7","243"
"127","2018","CO","GO","PORANGATU","2640","TEMPERATURA.MAXIMA.NA.HORA.ANT...AUT....C.","20.5","38.9","204"
"128","2018","CO","GO","PORANGATU","2640","TEMPERATURA.MINIMA.NA.HORA.ANT...AUT....C.","20.1","37.4","245"
"129","2018","CO","GO","PORANGATU","2640","TEMPERATURA.ORVALHO.MAX..NA.HORA.ANT...AUT....C.","12","25.2","321"
"130","2018","CO","GO","PORANGATU","2640","TEMPERATURA.ORVALHO.MIN..NA.HORA.ANT...AUT....C.","9.5","24.2","349"
"131","2018","CO","GO","PORANGATU","2640","UMIDADE.REL..MAX..NA.HORA.ANT...AUT.....","23","98","458"
"132","2018","CO","GO","PORANGATU","2640","UMIDADE.REL..MIN..NA.HORA.ANT...AUT.....","19","98","353"
"133","2018","CO","GO","PORANGATU","2640","UMIDADE.RELATIVA.DO.AR..HORARIA....","20","98","290"
"134","2018","CO","GO","PORANGATU","2640","VENTO..DIRECAO.HORARIA..gr......gr..","1","360","46"
"135","2018","CO","GO","PORANGATU","2640","VENTO..RAJADA.MAXIMA..m.s.","0","23.5","270"
"136","2018","CO","GO","PORANGATU","2640","VENTO..VELOCIDADE.HORARIA..m.s.","0","8.4","479"
"137","2018","CO","GO","SAO SIMAO","8760","PRECIPITACAO.TOTAL..HORARIO..mm.","0","34","8305"
"138","2018","CO","GO","SAO SIMAO","8760","PRESSAO.ATMOSFERICA.AO.NIVEL.DA.ESTACAO..HORARIA..mB.","947.5","967.8","511"
"139","2018","CO","GO","SAO SIMAO","8760","PRESSAO.ATMOSFERICA.MAX.NA.HORA.ANT...AUT...mB.","947.7","967.8","713"
"140","2018","CO","GO","SAO SIMAO","8760","PRESSAO.ATMOSFERICA.MIN..NA.HORA.ANT...AUT...mB.","947.4","967.6","660"
"141","2018","CO","GO","SAO SIMAO","8760","RADIACAO.GLOBAL..KJ.m..","0","3921.9","3728"
"142","2018","CO","GO","SAO SIMAO","8760","TEMPERATURA.DO.AR...BULBO.SECO..HORARIA...C.","9.4","38.8","402"
"143","2018","CO","GO","SAO SIMAO","8760","TEMPERATURA.DO.PONTO.DE.ORVALHO...C.","-3.8","23.7","651"
"144","2018","CO","GO","SAO SIMAO","8760","TEMPERATURA.MAXIMA.NA.HORA.ANT...AUT....C.","9.8","39.3","463"
"145","2018","CO","GO","SAO SIMAO","8760","TEMPERATURA.MINIMA.NA.HORA.ANT...AUT....C.","8.7","37.6","553"
"146","2018","CO","GO","SAO SIMAO","8760","TEMPERATURA.ORVALHO.MAX..NA.HORA.ANT...AUT....C.","-2.6","24.3","837"
"147","2018","CO","GO","SAO SIMAO","8760","TEMPERATURA.ORVALHO.MIN..NA.HORA.ANT...AUT....C.","-4.2","23.2","847"
"148","2018","CO","GO","SAO SIMAO","8760","UMIDADE.REL..MAX..NA.HORA.ANT...AUT.....","11","98","1296"
"149","2018","CO","GO","SAO SIMAO","8760","UMIDADE.REL..MIN..NA.HORA.ANT...AUT.....","10","98","1094"
"150","2018","CO","GO","SAO SIMAO","8760","UMIDADE.RELATIVA.DO.AR..HORARIA....","11","98","946"
"151","2018","CO","GO","SAO SIMAO","8760","VENTO..DIRECAO.HORARIA..gr......gr..","1","360","167"
"152","2018","CO","GO","SAO SIMAO","8760","VENTO..RAJADA.MAXIMA..m.s.","0","24.2","834"
"153","2018","CO","GO","SAO SIMAO","8760","VENTO..VELOCIDADE.HORARIA..m.s.","0","15","705"
"154","2018","CO","GO","LUZIANIA","8760","PRECIPITACAO.TOTAL..HORARIO..mm.","0","59","8193"
"155","2018","CO","GO","LUZIANIA","8760","PRESSAO.ATMOSFERICA.AO.NIVEL.DA.ESTACAO..HORARIA..mB.","895.2","911.8","476"
"156","2018","CO","GO","LUZIANIA","8760","PRESSAO.ATMOSFERICA.MAX.NA.HORA.ANT...AUT...mB.","895.9","911.8","693"
"157","2018","CO","GO","LUZIANIA","8760","PRESSAO.ATMOSFERICA.MIN..NA.HORA.ANT...AUT...mB.","895.1","911.6","701"
"158","2018","CO","GO","LUZIANIA","8760","RADIACAO.GLOBAL..KJ.m..","0","4290","3653"
"159","2018","CO","GO","LUZIANIA","8760","TEMPERATURA.DO.AR...BULBO.SECO..HORARIA...C.","10.6","34.1","405"
"160","2018","CO","GO","LUZIANIA","8760","TEMPERATURA.DO.PONTO.DE.ORVALHO...C.","-7.7","22.1","865"
"161","2018","CO","GO","LUZIANIA","8760","TEMPERATURA.MAXIMA.NA.HORA.ANT...AUT....C.","10.8","34.9","504"
"162","2018","CO","GO","LUZIANIA","8760","TEMPERATURA.MINIMA.NA.HORA.ANT...AUT....C.","10.4","33.6","574"
"163","2018","CO","GO","LUZIANIA","8760","TEMPERATURA.ORVALHO.MAX..NA.HORA.ANT...AUT....C.","-5.8","22.4","1051"
"164","2018","CO","GO","LUZIANIA","8760","TEMPERATURA.ORVALHO.MIN..NA.HORA.ANT...AUT....C.","-8","20.3","1110"
"165","2018","CO","GO","LUZIANIA","8760","UMIDADE.REL..MAX..NA.HORA.ANT...AUT.....","12","98","1371"
"166","2018","CO","GO","LUZIANIA","8760","UMIDADE.REL..MIN..NA.HORA.ANT...AUT.....","11","98","1154"
"167","2018","CO","GO","LUZIANIA","8760","UMIDADE.RELATIVA.DO.AR..HORARIA....","11","98","971"
"168","2018","CO","GO","LUZIANIA","8760","VENTO..DIRECAO.HORARIA..gr......gr..","1","360","132"
"169","2018","CO","GO","LUZIANIA","8760","VENTO..RAJADA.MAXIMA..m.s.","0","19.8","1032"
"170","2018","CO","GO","LUZIANIA","8760","VENTO..VELOCIDADE.HORARIA..m.s.","0","8.1","880"
"171","2018","CO","GO","ARAGARCAS","8760","PRECIPITACAO.TOTAL..HORARIO..mm.","0","35.6","8305"
"172","2018","CO","GO","ARAGARCAS","8760","PRESSAO.ATMOSFERICA.AO.NIVEL.DA.ESTACAO..HORARIA..mB.","965.7","984.6","1204"
"173","2018","CO","GO","ARAGARCAS","8760","PRESSAO.ATMOSFERICA.MAX.NA.HORA.ANT...AUT...mB.","965.8","984.7","1385"
"174","2018","CO","GO","ARAGARCAS","8760","PRESSAO.ATMOSFERICA.MIN..NA.HORA.ANT...AUT...mB.","965.5","984.5","1395"
"175","2018","CO","GO","ARAGARCAS","8760","RADIACAO.GLOBAL..KJ.m..","0","4240.6","4148"
"176","2018","CO","GO","ARAGARCAS","8760","TEMPERATURA.DO.AR...BULBO.SECO..HORARIA...C.","11.6","38.9","1114"
"177","2018","CO","GO","ARAGARCAS","8760","TEMPERATURA.DO.PONTO.DE.ORVALHO...C.","-3.3","25.8","1411"
"178","2018","CO","GO","ARAGARCAS","8760","TEMPERATURA.MAXIMA.NA.HORA.ANT...AUT....C.","12.3","39.5","1175"
"179","2018","CO","GO","ARAGARCAS","8760","TEMPERATURA.MINIMA.NA.HORA.ANT...AUT....C.","11.5","38.4","1282"
"180","2018","CO","GO","ARAGARCAS","8760","TEMPERATURA.ORVALHO.MAX..NA.HORA.ANT...AUT....C.","-2.8","26.3","1644"
"181","2018","CO","GO","ARAGARCAS","8760","TEMPERATURA.ORVALHO.MIN..NA.HORA.ANT...AUT....C.","-5.7","23.5","1660"
